Year,ISO_Code,Temperature,Humidity,Wind_Speed,Solar_Radiation,Temp_Lag1,Humidity_Lag1,Wind_Lag1,Solar_Lag1,Temp_Lag2,Humidity_Lag2,Wind_Lag2,Solar_Lag2,Temp_Lag3,Humidity_Lag3,Wind_Lag3,Solar_Lag3,Temp_Lag4,Humidity_Lag4,Wind_Lag4,Solar_Lag4,Temp_Lag5,Humidity_Lag5,Wind_Lag5,Solar_Lag5
2022,AFG,11.73446575,47.9269589,3.127205479,5.404475068,12.32890411,40.46758904,3.136383562,5.748096712,10.73546448,48.34387978,3.047349727,5.326274044,11.4429863,45.50646575,2.911068493,5.41802,12.90463014,34.03723288,3.133369863,5.605089041,12.12830137,39.53838356,3.168465753,5.582307671
2023,AFG,12.35586301,42.4019726,3.174547945,5.513276438,11.73446575,47.9269589,3.127205479,5.404475068,12.32890411,40.46758904,3.136383562,5.748096712,10.73546448,48.34387978,3.047349727,5.326274044,11.4429863,45.50646575,2.911068493,5.41802,12.90463014,34.03723288,3.133369863,5.605089041
2024,AFG,12.19857923,44.48713115,2.962486339,5.307860656,12.35586301,42.4019726,3.174547945,5.513276438,11.73446575,47.9269589,3.127205479,5.404475068,12.32890411,40.46758904,3.136383562,5.748096712,10.73546448,48.34387978,3.047349727,5.326274044,11.4429863,45.50646575,2.911068493,5.41802
1995,AGO,24.93347945,81.67605479,3.509013699,4.773394247,24.90917808,80.52715068,3.486465753,5.12940274,25.20306849,79.37654795,3.606712329,4.995427397,24.16898907,81.31598361,3.423278689,4.74805082,24.78493151,79.78961644,3.491890411,4.793908219,24.72224658,80.94446575,3.385890411,4.947128219
1996,AGO,24.56043716,80.39636612,3.654398907,4.884186339,24.93347945,81.67605479,3.509013699,4.773394247,24.90917808,80.52715068,3.486465753,5.12940274,25.20306849,79.37654795,3.606712329,4.995427397,24.16898907,81.31598361,3.423278689,4.74805082,24.78493151,79.78961644,3.491890411,4.793908219
1997,AGO,24.75136986,80.54846575,3.594657534,4.902911781,24.56043716,80.39636612,3.654398907,4.884186339,24.93347945,81.67605479,3.509013699,4.773394247,24.90917808,80.52715068,3.486465753,5.12940274,25.20306849,79.37654795,3.606712329,4.995427397,24.16898907,81.31598361,3.423278689,4.74805082
1998,AGO,25.99887671,78.21520548,3.755342466,4.961965753,24.75136986,80.54846575,3.594657534,4.902911781,24.56043716,80.39636612,3.654398907,4.884186339,24.93347945,81.67605479,3.509013699,4.773394247,24.90917808,80.52715068,3.486465753,5.12940274,25.20306849,79.37654795,3.606712329,4.995427397
1999,AGO,25.61273973,77.73506849,3.73509589,4.732953699,25.99887671,78.21520548,3.755342466,4.961965753,24.75136986,80.54846575,3.594657534,4.902911781,24.56043716,80.39636612,3.654398907,4.884186339,24.93347945,81.67605479,3.509013699,4.773394247,24.90917808,80.52715068,3.486465753,5.12940274
2000,AGO,25.33377049,78.84483607,3.704726776,4.905187432,25.61273973,77.73506849,3.73509589,4.732953699,25.99887671,78.21520548,3.755342466,4.961965753,24.75136986,80.54846575,3.594657534,4.902911781,24.56043716,80.39636612,3.654398907,4.884186339,24.93347945,81.67605479,3.509013699,4.773394247
2001,AGO,24.79216438,80.12564384,3.650328767,4.934119178,25.33377049,78.84483607,3.704726776,4.905187432,25.61273973,77.73506849,3.73509589,4.732953699,25.99887671,78.21520548,3.755342466,4.961965753,24.75136986,80.54846575,3.594657534,4.902911781,24.56043716,80.39636612,3.654398907,4.884186339
